,Suburb,Location,Region,Reported,Updated,Type,Information
2384,Moonee-valley,Ascot Vale Road,Melbourne-metropolitan,"5 May, 2016 - 9:28 AM","5 May, 2016 - 9:29 AM",Traffic Alert - Emergency Works,Left lane closed northbound near Mt Alexander Rd for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2385,Wyndham,Heaths Road (C701),Melbourne-metropolitan,"5 May, 2016 - 9:13 AM","5 May, 2016 - 9:14 AM",Traffic Alert - Emergency Works,Left lane closed northbound near River Run Dr for bus shelter works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2386,Brimbank,Calder Freeway (M79),Melbourne-metropolitan,"5 May, 2016 - 8:58 AM","5 May, 2016 - 8:59 AM",Traffic Alert - Vehicle Collision,Collision near Sunshine Ave affecting inbound traffic. 
2387,Nillumbik,Heidelberg-Kinglake Road (C746),Melbourne-metropolitan,"5 May, 2016 - 8:37 AM","5 May, 2016 - 8:38 AM",Traffic Alert - Emergency Works,Left lane closed inbound near Dinsdale Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2388,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"5 May, 2016 - 8:18 AM","5 May, 2016 - 8:20 AM",1 lane closed southbound - Vehicle Collision,Collision near Airport Dr has right lane closed Altona-bound. Traffic slow on approach. 
2389,Maribyrnong,Cordite Avenue,Melbourne-metropolitan,"5 May, 2016 - 8:16 AM","5 May, 2016 - 8:17 AM",Traffic Alert - Vehicle Collision,Collision at Central Park Ave affecting eastbound traffic. Emergency Services are on site. 
2390,Stonnington,Williams Road,Melbourne-metropolitan,"5 May, 2016 - 10:45 AM","5 May, 2016 - 10:46 AM",Traffic Alert - Emergency Works,Left lane closed northbound near Dandenong Rd for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 5:00pm. 
2391,Moreland,Bell Street,Melbourne-metropolitan,"5 May, 2016 - 10:43 AM","5 May, 2016 - 10:44 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Sussex St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2392,Boroondara,Chandler Highway,Melbourne-metropolitan,"5 May, 2016 - 10:41 AM","5 May, 2016 - 10:42 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Eastern Fwy for NBN works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2393,Yarra,Bridge Road,Melbourne-metropolitan,"5 May, 2016 - 10:39 AM","5 May, 2016 - 10:40 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Tudor St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2394,Melbourne,Lorimer Street,Melbourne-metropolitan,"5 May, 2016 - 10:37 AM","5 May, 2016 - 10:38 AM",Traffic Alert - Emergency Works,Left lane closed eastbound at Westside Ave for telecoms works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2395,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"5 May, 2016 - 10:35 AM","5 May, 2016 - 11:27 AM",All Lanes Now Open - Vehicle Collision,0
2396,Maroondah,Maroondah Highway,Melbourne-metropolitan,"5 May, 2016 - 10:33 AM","5 May, 2016 - 10:34 AM",Traffic Alert - Emergency Works,Left lane closed outbound near Oliver St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 1:30pm. 
2397,Melbourne,Wellington Parade,Melbourne-metropolitan,"5 May, 2016 - 10:31 AM","5 May, 2016 - 10:32 AM",Traffic Alert - Emergency Works,Left lane closed eastbound at Lansdowne St for telecoms works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
2398,Boroondara,Burke Road,Melbourne-metropolitan,"5 May, 2016 - 10:28 AM","5 May, 2016 - 10:29 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Second Ave for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2399,Knox,Ferntree Gully Road,Melbourne-metropolitan,"5 May, 2016 - 10:26 AM","5 May, 2016 - 10:27 AM",Traffic Alert - Emergency Works,Left lane closed inbound near Eastlink for telecoms works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2400,Melton,Western Freeway (M8),Melbourne-metropolitan,"5 May, 2016 - 5:50 PM","5 May, 2016 - 5:52 PM",1 lane closed outbound - Vehicle Collision,Right lane closed outbound at Christies Rd due to a collision. Delays building back to Robinsons Rd. Emergency services on site. 
2401,Cardinia,Princes Freeway (M1),Melbourne-metropolitan,"5 May, 2016 - 5:09 PM","6 May, 2016 - 5:27 AM",Incident Cleared - Vehicle Collision,0
2402,Yarra-ranges,Wellington Road (C413),Melbourne-metropolitan,"5 May, 2016 - 5:05 PM","5 May, 2016 - 5:08 PM",Traffic Alert - Vehicle Collision,Collision near Ryans Rd. Westbound blocked and one lane getting through eastbound. Avoid the area. Delay your trip if possible.  
2403,Maribyrnong,Sunshine Road,Melbourne-metropolitan,"5 May, 2016 - 4:25 PM","5 May, 2016 - 4:26 PM",Traffic Alert - Vehicle Collision,Collision at Ashley St affecting traffic in both directions. Allow extra time if travelling through the area. 
2404,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"5 May, 2016 - 3:37 PM","5 May, 2016 - 3:38 PM",1 lane closed outbound - Vehicle Breakdown,Truck breakdown on West Gate Bridge outbound. Traffic slow on approach. 
2405,Moorabool,Western Freeway (M8),Grampians,"5 May, 2016 - 3:06 PM","5 May, 2016 - 5:49 PM",Incident Cleared - Vehicle Collision,0
2406,Stonnington,Monash Freeway (M1),Melbourne-metropolitan,"5 May, 2016 - 1:34 PM","5 May, 2016 - 1:43 PM",All Lanes Now Open - Vehicle Breakdown,0
2407,Darebin,Station Street,Melbourne-metropolitan,"5 May, 2016 - 1:11 PM","5 May, 2016 - 1:13 PM",Traffic Alert - Emergency Works,Left lane closed southbound near Dundas St for sewer works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2408,Hume,Camp Road,Melbourne-metropolitan,"5 May, 2016 - 11:16 AM","5 May, 2016 - 11:26 AM",All lanes closed westbound - Vehicle Collision,Collision near Glenlitta Ave has all westbound lanes closed. Police on site turning traffic around at Northcorp Blvd. Avoid the area and seek alt route. Barry Rd or Western Ring Rd are two alternatives. 
2409,Brimbank,Furlong Road,Melbourne-metropolitan,"5 May, 2016 - 10:57 AM","5 May, 2016 - 10:58 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Cowra Ave for water works. Speed limit reduced to 40km/h. Works expected to be completed by 5:00pm. 
2410,Bayside,Centre Road,Melbourne-metropolitan,"6 May, 2016 - 10:05 AM","6 May, 2016 - 10:11 AM",Traffic Alert - Emergency Works,Traffic alternated through open lane near Davies St for electrical works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2411,Melbourne,Lorimer Street,Melbourne-metropolitan,"6 May, 2016 - 9:42 AM","6 May, 2016 - 9:43 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Salmon St for NBN works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2412,Dandenong,Heatherton Road,Melbourne-metropolitan,"6 May, 2016 - 9:39 AM","6 May, 2016 - 9:40 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Namur St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
2413,Frankston,Skye Road,Melbourne-metropolitan,"6 May, 2016 - 9:00 AM","6 May, 2016 - 4:23 PM",Road Reopened - Vehicle Collision,0
2414,Moonee-valley,Tullamarine Freeway,Melbourne-metropolitan,"6 May, 2016 - 8:19 AM","6 May, 2016 - 9:36 AM",All Lanes Now Open - Vehicle Collision,0
2415,Banyule,Grimshaw Street,Melbourne-metropolitan,"6 May, 2016 - 8:08 AM","6 May, 2016 - 8:11 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Dendaryl Dr for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2416,Dandenong,Monash Freeway (M1),Melbourne-metropolitan,"6 May, 2016 - 6:47 AM","6 May, 2016 - 7:07 AM",1 lane closed inbound - Vehicle Collision,Collision near Brady Rd has been moved into emergency lane. All lanes now open. 
2417,Melbourne,Citylink,Melbourne-metropolitan,"6 May, 2016 - 6:32 AM","6 May, 2016 - 7:33 AM",All Lanes Now Open - Vehicle Collision,0
2418,Whittlesea,High Street,Melbourne-metropolitan,"6 May, 2016 - 6:01 AM","6 May, 2016 - 6:03 AM",Traffic Alert - Vehicle Collision,High St closed southbound between Settlement Rd and Keon Pde due to vehicle roll over. Police on site directing traffic.VicRoads advises drivers to avoid area.
2419,Melbourne,Power Street,Melbourne-metropolitan,"6 May, 2016 - 5:48 AM","6 May, 2016 - 9:56 AM",Incident Cleared - Police Incident,0
2420,Hobsons-bay,Melbourne Road,Melbourne-metropolitan,"6 May, 2016 - 7:23 PM","7 May, 2016 - 2:41 AM",Road Reopened - Police Incident,0
2421,Whitehorse,Middleborough Road,Melbourne-metropolitan,"6 May, 2016 - 5:24 PM","6 May, 2016 - 5:26 PM",Traffic Alert - Vehicle Collision,Collision at Canterbury Rd affecting traffic in all directions. Police on site directing traffic. Allow extra time if travelling through the area. 
2422,Boroondara,Burke Road,Melbourne-metropolitan,"6 May, 2016 - 4:55 PM","6 May, 2016 - 8:26 PM",Incident Cleared - Emergency Works,0
2423,Hobsons-bay,Williamstown Road,Melbourne-metropolitan,"6 May, 2016 - 4:40 PM","6 May, 2016 - 4:53 PM",Incident Cleared - Vehicle Breakdown,0
2424,Melbourne,Arden Street,Melbourne-metropolitan,"6 May, 2016 - 4:37 PM","6 May, 2016 - 4:38 PM",Incident Cleared - Vehicle Collision,0
2425,Bendigo,Sparrowhawk Road (C323),Loddon-mallee,"6 May, 2016 - 3:13 PM","6 May, 2016 - 9:41 PM",Road Reopened - Vehicle Collision,0
2426,Mitchell,Hume Freeway (M31),Hume,"6 May, 2016 - 1:26 PM","6 May, 2016 - 1:27 PM",1 lane closed northbound - Vehicle Collision,Collision near Watson St has right lane closed northbound. Emergency Services are on site. Traffic heavy on approach. 
2427,Boroondara,Burke Road,Melbourne-metropolitan,"6 May, 2016 - 12:25 PM","6 May, 2016 - 12:28 PM",Traffic Alert - Emergency Works,Left lane closed both directions near Second Av for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2428,Whitehorse,Whitehorse Road,Melbourne-metropolitan,"6 May, 2016 - 10:37 AM","6 May, 2016 - 10:40 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Nelson Rd for utility works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2429,Melbourne,Wellington Parade,Melbourne-metropolitan,"6 May, 2016 - 10:15 AM","6 May, 2016 - 10:19 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Lansdowne St for utility works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2430,Melbourne,West Gate Freeway (M1),Melbourne-metropolitan,"7 May, 2016 - 11:48 AM","7 May, 2016 - 12:16 PM",All Lanes Now Open - Vehicle Breakdown,0
2431,Monash,Ferntree Gully Road,Melbourne-metropolitan,"7 May, 2016 - 11:13 AM",0,Traffic Alert - Emergency Works,Left lane closed eastbound near Forster Rd for NBN works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
2432,Hume,Mickleham Road (C739),Melbourne-metropolitan,"7 May, 2016 - 11:01 AM","7 May, 2016 - 11:03 AM",Traffic Alert - Vehicle Collision,Truck rollover at Mt Ridley Rd affecting traffic in all directions. Avoid the area and seek alt route. 
2433,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"7 May, 2016 - 10:59 AM","7 May, 2016 - 1:43 PM",3 lanes closed inbound - Vehicle Collision,"One lane (plus right emergency lane) now open city bound near Fitzgerald Rd after earlier closure. Western Hwy ramp to head to city has been re-opened. Traffic remains heavy. Avoid and seek alt route if possible. One alternative for Western Ring Rd - Ballarat Road then head to city through Maidstone and Footscray. Alt for Western Freeway - Exit at Robinsons Road, head south to Boundary Road and then east to the Western Ring Road.  "
2434,Maribyrnong,Geelong Road,Melbourne-metropolitan,"7 May, 2016 - 10:09 AM","7 May, 2016 - 10:10 AM",Traffic Alert - Emergency Works,Left lane closed eastbound on Gordon St overpass for electrical works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2435,Hobsons-bay,Princes Freeway (M1),Melbourne-metropolitan,"7 May, 2016 - 9:37 AM","7 May, 2016 - 9:58 AM",All Lanes Now Open - Vehicle Collision,0
2436,Port-phillip,Queens Road,Melbourne-metropolitan,"7 May, 2016 - 9:17 AM","7 May, 2016 - 10:00 AM",Incident Cleared - Emergency Works,0
2437,Darebin,St Georges Road,Melbourne-metropolitan,"7 May, 2016 - 9:15 AM","7 May, 2016 - 9:16 AM",Incident Cleared - Emergency Works,0
2438,Kingston,Warrigal Road,Melbourne-metropolitan,"7 May, 2016 - 9:13 AM","7 May, 2016 - 9:14 AM",Traffic Alert - Emergency Works,Northbound lanes closed near Centre Dandenong Rd for power works. Traffic being diverted into Devon St then to Tilley St and back onto Centre Dandenong Rd. Works expected to be completed by 4:00pm.  
2439,Melbourne,St Kilda Road,Melbourne-metropolitan,"7 May, 2016 - 12:00 AM","8 May, 2016 - 12:00 AM",Sporting/Social Event - road closed,"
Mother's Day Classic run/walk event. Contraflow on Alexandra Avenue. St Kilda Rd CLOSED Southbound from Southbank Boulevard to  Government House Drive 
5am to 2pm 8 May"
2440,Melbourne,Lorimer Street,Melbourne-metropolitan,"9 May, 2016 - 9:33 AM","9 May, 2016 - 9:34 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near Salmon St for telecoms works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2441,Nillumbik,Sherbourne Road,Melbourne-metropolitan,"9 May, 2016 - 9:32 AM","9 May, 2016 - 9:33 AM",Traffic Alert - Emergency Works,Contra flow in place near Bolton St for electrical works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2442,Brimbank,Main Road E,Melbourne-metropolitan,"9 May, 2016 - 8:48 AM","9 May, 2016 - 8:49 AM",Traffic Alert - Emergency Works,Left lane closed eastbound near View St for telecoms works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2443,Melbourne,Victoria Street,Melbourne-metropolitan,"9 May, 2016 - 8:44 AM","9 May, 2016 - 8:45 AM",Traffic Alert - Emergency Works,2 lanes closed westbound near Therry St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
2444,Boroondara,Power Street,Melbourne-metropolitan,"9 May, 2016 - 8:24 AM","9 May, 2016 - 8:26 AM",All lanes closed northbound - Emergency Works,Power pole repairs at Riversdale Rd. Northbound closed. Avoid area and seek alt route. Glenferrie Rd is one alternative. 
2445,Banyule,Banksia Street,Melbourne-metropolitan,"9 May, 2016 - 7:45 AM","9 May, 2016 - 8:13 AM",All Lanes Now Open - Police Incident,0
2446,Boroondara,Princes Freeway (M1),Melbourne-metropolitan,"8 May, 2016 - 12:00 AM","9 May, 2016 - 12:00 AM",Sporting/Social Event - all lanes closed southbound,"Wings for Life - Charity Race, 8 May.   Monash Fwy/Princes Fwy East, outbound Toorak Rd to Drouin.   Monash Fwy - Toorak Rd OnRamp closed (7pm-10pm).   Monash Fwy - full closure Toorak Rd to Burke Rd (8:30pm-9:30pm).   Monash Fwy - 2 righthand lanes closed (first 24kms) 1 righthand lane closed (last 56kms), 60km/h speed reduction (7pm-3am) - closures will be cleared from 9:30pm.   Toorak Rd - 1 westbound lane closed (7pm-10pm). "
2447,Baw-baw,Princes Freeway (M1),Gippsland,"8 May, 2016 - 12:00 AM","9 May, 2016 - 12:00 AM",Sporting/Social Event - 1 lane closed southbound,"Wings for Life - Charity Race, 8 May.   Monash Fwy/Princes Fwy East, outbound Toorak Rd to Drouin.   Monash Fwy - Toorak Rd OnRamp closed (7pm-10pm).   Monash Fwy - full closure Toorak Rd to Burke Rd (8:30pm-9:30pm).   Monash Fwy - 2 righthand lanes closed (first 24kms) 1 righthand lane closed (last 56kms), 60km/h speed reduction (7pm-3am) - closures will be cleared from 9:30pm.   Toorak Rd - 1 westbound lane closed (7pm-10pm). "
2448,Stonnington,Monash Freeway (M1),Melbourne-metropolitan,"8 May, 2016 - 12:00 AM","9 May, 2016 - 12:00 AM",Sporting/Social Event - road closed,"WINGS FOR LIFE Event - 8 May. Monash Fwy/Princes Fwy, outbound Toorak Rd to Longwarry Nth. Monash Fwy - Toorak Rd OnRamp closed (7pm-10pm). Monash Fwy - closed Toorak Rd to Burke Rd (8:30pm-9:30pm). Monash Fwy - 2 right lanes closed (Toorak Rd-Sth Gippsland Fwy) 1 right lane closed (Sth Gippsland Fwy-Longwarry Nth), 60km/h speed reduction (7pm-3am) - closures cleared from 9:30pm. Toorak Rd - 1 westbound lane closed (7pm-10pm). "
2449,Casey,Princes Freeway (M1),Melbourne-metropolitan,"7 May, 2016 - 12:19 PM","7 May, 2016 - 1:42 PM",All Lanes Now Open - Vehicle Collision,0
2450,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"9 May, 2016 - 12:19 PM","9 May, 2016 - 12:34 PM",All Lanes Now Open - Vehicle Breakdown,0
2451,Shepparton,Bendigo-Murchison Road (C345),Hume,"9 May, 2016 - 12:01 PM","9 May, 2016 - 1:20 PM",1 lane closed eastbound - Debris,Multiple large trees over road west of Murchison. Traffic now getting through under traffic control. Police and SES on site.Avoid the area and seek alt route if possible.  
2452,Casey,South Gippsland Highway (M420),Melbourne-metropolitan,"9 May, 2016 - 11:31 AM","9 May, 2016 - 11:36 AM",1 lane closed southbound - Vehicle Breakdown,Truck recovery near Ballarto Rd has closed left lane southbound. Speed limit reduced to 40km/h. Works expected to be completed by 1:00pm. 
2453,Corangamite,Great Ocean Road (B100),Barwon,"9 May, 2016 - 11:19 AM","10 May, 2016 - 9:26 AM",Traffic Alert - Flood,Water over road with speed restrictions and potential road closure possibly later today depending on rainfall in Otways
2454,Yarra-ranges,Monbulk Road (C404),Melbourne-metropolitan,"9 May, 2016 - 11:17 AM","9 May, 2016 - 4:44 PM",Incident Cleared - Emergency Works,0
2455,Whittlesea,Dalton Road,Melbourne-metropolitan,"9 May, 2016 - 11:12 AM","9 May, 2016 - 11:53 AM",Incident Cleared - Vehicle Collision,0
2456,Wodonga,High Street (C315),Hume,"9 May, 2016 - 11:01 AM","9 May, 2016 - 11:18 AM",All lanes closed southbound - Vehicle Collision,Southbound lanes closed between Wodonga St and Osburn St due to collision. Detour via local roads - drivers are advised to avoid the area and seek an alternate route if possible. 
2457,Hume,Camp Road,Melbourne-metropolitan,"9 May, 2016 - 10:48 AM","9 May, 2016 - 10:59 AM",Traffic Alert - Emergency Works,Traffic alternated through open lane near Joseph St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
2458,Boroondara,Burke Road,Melbourne-metropolitan,"9 May, 2016 - 10:44 AM","9 May, 2016 - 10:59 AM",Traffic Alert - Emergency Works,Left lane closed northbound near High St for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 2:00pm. 
